country_or_region,country_code,date,variable,generation_twh,share_of_generation_pct,emissions_mtco2,continent,ember_region,eu_flag,g20_flag,g7_flag,oecd_flag,region_demand_rank,oecd_demand_rank,eu_demand_rank,global_fuel_rank,latest_year,coal_deadline,clean_deadline
Argentina,ARG,2018-12-01,Solar,0.04,0.36,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2018-12-01,Wind,0.26,2.35,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2018-12-01,Wind and solar,0.3,2.71,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-01-01,Bioenergy,0.02,0.17,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2019-01-01,Clean,4.16,35.49,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-01-01,Coal,0.01,0.09,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2019-01-01,Fossil,7.56,64.51,4.5,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-01-01,Gas,7.35,62.71,4.35,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2019-01-01,Hydro,3.61,30.8,0.09,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2019-01-01,Nuclear,0.2,1.71,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2019-01-01,Other Fossil,0.2,1.71,0.14,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2019-01-01,Solar,0.04,0.34,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2019-01-01,Wind,0.29,2.47,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2019-01-01,Wind and solar,0.33,2.81,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-02-01,Bioenergy,0.03,0.27,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2019-02-01,Clean,3.32,30.25,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-02-01,Coal,0.12,1.09,0.11,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2019-02-01,Fossil,7.65,69.73,4.6,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-02-01,Gas,7.32,66.73,4.34,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2019-02-01,Hydro,2.72,24.79,0.07,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2019-02-01,Nuclear,0.3,2.73,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2019-02-01,Other Fossil,0.21,1.91,0.15,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2019-02-01,Solar,0.04,0.36,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,37.0,2024,2040,2040
Argentina,ARG,2019-02-01,Wind,0.23,2.1,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,20.0,2024,2040,2040
Argentina,ARG,2019-02-01,Wind and solar,0.27,2.46,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-03-01,Bioenergy,0.04,0.39,0.01,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,30.0,2024,2040,2040
Argentina,ARG,2019-03-01,Clean,4.0,39.1,0.08,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-03-01,Coal,0.0,0.0,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,59.0,2024,2040,2040
Argentina,ARG,2019-03-01,Fossil,6.23,60.9,3.7,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,,2024,2040,2040
Argentina,ARG,2019-03-01,Gas,6.14,60.02,3.64,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,19.0,2024,2040,2040
Argentina,ARG,2019-03-01,Hydro,3.07,30.01,0.07,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
Argentina,ARG,2019-03-01,Nuclear,0.53,5.18,0.0,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,27.0,2024,2040,2040
Argentina,ARG,2019-03-01,Other Fossil,0.09,0.88,0.06,South America,Latin America and Caribbean,0.0,1.0,0.0,0.0,3.0,,,22.0,2024,2040,2040
